"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"NFKBIL1",1055.33620005401,0.20055884087219,0.0836534291398593,2.397496945844,0.0165075185903773,0.1746772839403,0.139016795086929,"High vs Low","NFKBIL1",0.1746772839403
"MCCD1",3.10280115710006,-0.285342730061057,0.607178152836413,-0.469948941226044,0.638391496977068,0.857138777436378,-0.197784508835099,"High vs Low","MCCD1",0.857138777436378
"ZNF814",520.192233997653,0.0613549689669133,0.0891795143949544,0.687993979146231,0.491456572891108,0.781418649391264,0.042528023752759,"High vs Low","ZNF814",0.781418649391264
"MICB",550.240316346123,-0.00140103225455629,0.122962119285141,-0.011394015186965,0.990909087899655,0.997152404454262,-0.00097112155711924,"High vs Low","MICB",0.997152404454262
"AADACL4",0.679848301761562,0.064313910892874,0.41835118703676,0.153731871417453,0.877821153736445,0.960481300934706,0.0445790060061791,"High vs Low","AADACL4",0.960481300934706
"ZNF551",378.017630177403,0.124346779951693,0.0908811032946013,1.36823580968872,0.171238275982621,0.507475263316471,0.0861906199352242,"High vs Low","ZNF551",0.507475263316471
"MICA",987.750019361607,0.000568333597940204,0.0975236928937175,0.00582764640136813,0.995350237229336,0.99839811764815,0.000393938831029664,"High vs Low","MICA",0.99839811764815
"ZNF805",111.776262672329,-0.0559898463170624,0.0837535561928157,-0.668507092262014,0.503809956239636,0.789016594103988,-0.0388092041146564,"High vs Low","ZNF805",0.789016594103988
"HLA.C",79352.0591052056,0.0528599528498544,0.112866204280929,0.468341725378518,0.63954023421642,0.857749110994839,0.0366397272824081,"High vs Low","HLA.C",0.857749110994839
"POU5F1",203.704463337312,-0.122554808565213,0.236743507757106,-0.517669142128921,0.604689131580909,0.84220909072976,-0.0849485200210412,"High vs Low","POU5F1",0.84220909072976
"ZSCAN5C",1.54602278213921,0.147964716183071,0.222642940131858,0.664583013930019,0.506317236591845,0.790393766965233,0.102561325844648,"High vs Low","ZSCAN5C",0.790393766965233
"CCHCR1",1609.38732068979,0.310261032494856,0.101656130905588,3.05206414734599,0.00227273525720335,0.066699998964235,0.215056559911427,"High vs Low","CCHCR1",0.066699998964235
"PSORS1C2",16.1901335155324,-0.446055070395309,0.288091296268677,-1.54831151156789,0.12154731421748,0.440020686220045,-0.309181814418976,"High vs Low","PSORS1C2",0.440020686220045
"CDSN",3.87928670858834,0.153082023836778,0.264883260167861,0.5779226053763,0.563316372704104,0.822469019663195,0.106108373216873,"High vs Low","CDSN",0.822469019663195
"PSORS1C1",191.863487261309,0.166331307205488,0.160660729406921,1.03529535698923,0.300530997508204,0.64073477157709,0.115292076628334,"High vs Low","PSORS1C1",0.64073477157709
"C6orf15",7.8880550435984,-1.1738907472261,0.462036166608068,-2.54069017116982,0.0110633909662826,0.144023797109361,-0.813679061725178,"High vs Low","C6orf15",0.144023797109361
"MUC21",4097.58588047781,-0.124003754675597,0.296675698606422,-0.417977459084386,0.675963597818173,0.876772334674335,-0.0859528529322374,"High vs Low","MUC21",0.876772334674335
"DHX16",2667.16629165845,0.214337891231905,0.0574393473949942,3.73155164451928,0.000190303985016537,0.0165939585396391,0.148567704994559,"High vs Low","DHX16",0.0165939585396391
"C6orf136",789.583848855379,0.324568176595395,0.0929809475344399,3.49069551560739,0.000481764965915286,0.0275880925825086,0.224973516506581,"High vs Low","C6orf136",0.0275880925825086
"MRPS18B",3666.2568792238,0.167092831720492,0.0802745899267286,2.08151585542832,0.037386714361197,0.25646098274169,0.115819925198836,"High vs Low","MRPS18B",0.25646098274169
"PPP1R10",4499.29228711546,0.120085614454979,0.0620104373991525,1.9365387423734,0.0528017523034426,0.301437010238445,0.0832370050852775,"High vs Low","PPP1R10",0.301437010238445
"KRTAP5.11",0.250747850595274,0.112953619212516,0.491088322670835,0.230006729946674,0.818086540166715,NA,0.0782934826911969,"High vs Low","KRTAP5.11",NA
"KRTAP5.10",8.84178629277767,-0.0994469296751723,0.231570635262889,-0.429445337757422,0.66759916569205,0.872226341172505,-0.0689313589196888,"High vs Low","KRTAP5.10",0.872226341172505
"ABCF1",5101.65213827888,0.136084492720327,0.0686359757280665,1.98269917891878,0.0474010413690559,0.287423847210807,0.094326582447025,"High vs Low","ABCF1",0.287423847210807
"PRR3",845.299623407996,0.260693962252588,0.072846153943592,3.57869219086645,0.00034531788285951,0.0230939432049035,0.180699284924382,"High vs Low","PRR3",0.0230939432049035
"LILRB3",253.201350264966,-0.020238325514178,0.126030391036118,-0.160582898678605,0.872421924959463,0.959209290312183,-0.0140281382694069,"High vs Low","LILRB3",0.959209290312183
"DDR1",14940.9481696381,0.0141387210677652,0.0937378748747265,0.150832532598595,0.880107822541438,0.961055753782756,0.00980021464484487,"High vs Low","DDR1",0.961055753782756
"LRCOL1",21.1127856534311,0.289620820535205,0.2158830912479,1.3415632454634,0.179737650162701,0.517692561649091,0.200749855185435,"High vs Low","LRCOL1",0.517692561649091
