"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"RP11.613M10.8",0.0688592222842309,-3.72929096707447,0.687410963340866,0.881438628063157,"High vs Low","RP11.613M10.8",0.881438628063157
"ALG2",-0.0245145630885126,5.48355620544333,0.687621606079957,0.881617707941205,"High vs Low","ALG2",0.881617707941205
"HECW1",0.0749930222891288,1.2188297748742,0.687692114701405,0.881617707941205,"High vs Low","HECW1",0.881617707941205
"LCT",-0.138023946689826,0.739348870874872,0.687695439122072,0.881617707941205,"High vs Low","LCT",0.881617707941205
"SERPINA4",0.193149204575045,1.77675177832921,0.687737495554156,0.881617707941205,"High vs Low","SERPINA4",0.881617707941205
"AFF4",-0.0299141276993025,6.91284571359611,0.687819994291472,0.881663572359351,"High vs Low","AFF4",0.881663572359351
"GSG1",-0.0887991584223652,-3.35885581746589,0.687995494955835,0.88169187262578,"High vs Low","GSG1",0.88169187262578
"NOL8",0.0255653172587214,5.06427149618403,0.687999793096335,0.88169187262578,"High vs Low","NOL8",0.88169187262578
"TXLNB",-0.0642285822805959,1.21679130133429,0.688058339855295,0.88169187262578,"High vs Low","TXLNB",0.88169187262578
"KLK6",0.173322552298234,3.13712721069958,0.688071296919249,0.88169187262578,"High vs Low","KLK6",0.88169187262578
"GATSL2",-0.0542712536432464,0.819479180187279,0.688075682696193,0.88169187262578,"High vs Low","GATSL2",0.88169187262578
"SMC5",-0.0289043906944793,5.54509782053137,0.688150342632115,0.881727669460256,"High vs Low","SMC5",0.881727669460256
"PMP22",0.0439238572708504,6.35399110770522,0.688298637549704,0.881857803598374,"High vs Low","PMP22",0.881857803598374
"NPIPB8",0.105323939467442,-3.89021473931132,0.68843727420336,0.881960803154451,"High vs Low","NPIPB8",0.881960803154451
"NTMT1",0.0346396147698033,4.40843111358763,0.688514149184749,0.881960803154451,"High vs Low","NTMT1",0.881960803154451
"RERGL",0.158705885788862,1.88685548682358,0.688525420334874,0.881960803154451,"High vs Low","RERGL",0.881960803154451
"CFH",0.060051501827352,6.96448250755643,0.688579111044129,0.881960803154451,"High vs Low","CFH",0.881960803154451
"ANKRD29",0.0819566652933466,4.27838261575633,0.688612711232986,0.881960803154451,"High vs Low","ANKRD29",0.881960803154451
