"","logFC","AveExpr","t","P.Value","adj.P.Val","B","group","genesymbol"
"SLC44A1",0.447349340398022,11.0890871327468,0.555144827564524,0.579370703263004,0.899901888657923,-5.13924124298188,"High vs Low","SLC44A1"
"TAPBP",2.42379855089131,75.8606568748897,0.555050141258715,0.579435350737842,0.899901888657923,-5.13927979311657,"High vs Low","TAPBP"
"SERINC2",-2.51997817316615,55.8743334012158,-0.55503363892355,0.579446618125619,0.899901888657923,-5.13928651112878,"High vs Low","SERINC2"
"CSNK2A3",-0.0173830884178496,0.225522432903457,-0.554943163869979,0.57950839410236,0.899912827335758,-5.13932333950174,"High vs Low","CSNK2A3"
"DNASE1",0.091236054837647,1.84950259389617,0.554668046929634,0.579696261879496,0.900116793739544,-5.13943529062796,"High vs Low","DNASE1"
"KCNK1",-0.509293992395785,11.1669277473195,-0.554590486538055,0.57974923036746,0.900116793739544,-5.13946684165991,"High vs Low","KCNK1"
"TRAM2",0.277747563542802,8.12212355604894,0.554275034133441,0.579964686519922,0.900159279992287,-5.13959512021956,"High vs Low","TRAM2"
"AUH",-0.174931233383967,5.04384424264733,-0.554096823481964,0.580086422323716,0.900159279992287,-5.13966755734354,"High vs Low","AUH"
"ARSD",-0.883027306763104,18.0675746677751,-0.553963853367991,0.580177262145454,0.900159279992287,-5.13972159046717,"High vs Low","ARSD"
"METAP1D",-0.0616777983136256,1.52145470280427,-0.553954572150826,0.580183602949536,0.900159279992287,-5.13972536145743,"High vs Low","METAP1D"
"FOXN3",-0.189403006472451,5.39505307901659,-0.553766477187151,0.580312113973325,0.900159279992287,-5.1398017715184,"High vs Low","FOXN3"
"SRI",-1.26381435267321,29.6162034199807,-0.553745986216273,0.580326114710961,0.900159279992287,-5.13981009403029,"High vs Low","SRI"
"SLC8B1",0.242460887345311,7.73585188828682,0.553707558941412,0.580352371104629,0.900159279992287,-5.1398257006358,"High vs Low","SLC8B1"
"EPHA3",-0.170945072766921,1.2872480559471,-0.553668518389725,0.580379047108937,0.900159279992287,-5.13984155520848,"High vs Low","EPHA3"
"ROPN1B",-0.0171301397658394,0.164648808211969,-0.553642649549456,0.580396723338005,0.900159279992287,-5.13985206006652,"High vs Low","ROPN1B"
"ARL13A",-0.0109580220842624,0.207086498125835,-0.553612548105749,0.580417292032972,0.900159279992287,-5.13986428309102,"High vs Low","ARL13A"
"INCENP",0.273124151683724,5.57644289876347,0.553598757618255,0.58042671536133,0.900159279992287,-5.13986988264995,"High vs Low","INCENP"
"LFNG",-1.25678980191378,20.99251220139,-0.553588732684069,0.580433565653706,0.900159279992287,-5.13987395313745,"High vs Low","LFNG"
"C2orf82",-0.0337773066704462,0.524456178122031,-0.553382032440894,0.580574817683942,0.900247606777824,-5.13995786457648,"High vs Low","C2orf82"
"BLMH",0.275587730173845,6.43975696364217,0.553345146973818,0.580600025682523,0.900247606777824,-5.139972835212,"High vs Low","BLMH"
"OGT",-0.945096473564703,21.4081199232132,-0.553166123324189,0.580722380059327,0.900276886662214,-5.1400454810816,"High vs Low","OGT"
"XDH",-0.654113019620369,4.16691472584965,-0.553145369248834,0.580736565295415,0.900276886662214,-5.14005390134687,"High vs Low","XDH"
"SFMBT1",-0.0996205860095873,2.74816984078829,-0.553013272256737,0.580826856308317,0.900276886662214,-5.14010748786282,"High vs Low","SFMBT1"
"ZNF671",-0.0812606882667817,2.02912260066113,-0.552891950320854,0.58090978817823,0.900276886662214,-5.14015669213069,"High vs Low","ZNF671"
"ECHDC3",0.488411951656161,9.29745856436899,0.552798238864514,0.580973850210732,0.900276886662214,-5.14019469111426,"High vs Low","ECHDC3"
"XYLB",-0.0529315487263762,1.14817614798798,-0.552718538898779,0.581028336476458,0.900276886662214,-5.14022700353939,"High vs Low","XYLB"
"CXorf56",-0.230909413780703,10.069994151424,-0.552451938070518,0.581210613570613,0.900276886662214,-5.14033505666615,"High vs Low","CXorf56"
"MCRS1",0.486913612925228,18.517679507389,0.552443386634175,0.581216460701134,0.900276886662214,-5.14033852169742,"High vs Low","MCRS1"
"RAI14",-1.0728812774519,20.7730711511446,-0.552366294963862,0.581269174156269,0.900276886662214,-5.14036975673298,"High vs Low","RAI14"
"GIT2",-0.0524714003879927,2.27458631458994,-0.552330717935346,0.581293501643734,0.900276886662214,-5.1403841699222,"High vs Low","GIT2"
"HEMK1",0.0559969824630269,1.61739904656716,0.552207621059379,0.581377678694949,0.900276886662214,-5.14043403256421,"High vs Low","HEMK1"
"RPL6",-3.6079330806689,123.81570034349,-0.552073200088333,0.581469606032777,0.900276886662214,-5.14048846958895,"High vs Low","RPL6"
"MARC2",0.387784887346343,6.99224262547994,0.551913664255052,0.581578717715319,0.900276886662214,-5.14055306034795,"High vs Low","MARC2"
"UNC5C",-0.043017848217884,0.73397600805947,-0.55190604006826,0.58158393238298,0.900276886662214,-5.14055614666219,"High vs Low","UNC5C"
