"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"GTPBP4",3180.03838743967,0.10886304265651,0.0906270924230829,1.20121963251667,0.229666015760716,0.591851737404392,0.0754581110845367,"High vs Low","GTPBP4",0.591851737404392
"EDRF1",942.202779953209,-0.0491737449305319,0.076845330045876,-0.639905442545117,0.522234075366517,0.804874186346237,-0.034084642656172,"High vs Low","EDRF1",0.804874186346237
"BCCIP",2559.1040305617,-0.0845078711667194,0.0779729851711703,-1.08380961664099,0.278449220461828,0.638549519063032,-0.0585763926343347,"High vs Low","BCCIP",0.638549519063032
"MTPAP",1312.77689802621,0.0277874625583408,0.0783776160169488,0.354533143140408,0.722939370286129,0.904950286525904,0.0192608013272291,"High vs Low","MTPAP",0.904950286525904
"NEURL1",192.396066431346,1.25068220509064,0.275405588488447,4.54123756876162,5.59249691747493e-06,0.00130039893066978,0.86690684423507,"High vs Low","NEURL1",0.00130039893066978
"SH3PXD2A",6638.70500627768,-0.0146752094320063,0.09551581875889,-0.153641665042424,0.87789228300723,0.961841992080592,-0.0101720800419219,"High vs Low","SH3PXD2A",0.961841992080592
"PITRM1",4133.59473915561,0.164574114039868,0.0785376991632913,2.09547918761529,0.0361284166638497,0.274678880159348,0.114074083139885,"High vs Low","PITRM1",0.274678880159348
"OBFC1",1402.33118995115,-0.0881475056920638,0.0895700858921504,-0.984117686324433,0.325057651787146,0.674473244533059,-0.0610991950438457,"High vs Low","OBFC1",0.674473244533059
"MAP3K8",1059.92856243986,0.13805098737804,0.105935007552755,1.30316682433134,0.192517813665608,0.554765743001769,0.0956896526746053,"High vs Low","MAP3K8",0.554765743001769
"DKK1",538.181166719951,1.17344821473572,0.319892794283473,3.66825460187099,0.000244211935022036,0.0225983258443605,0.813372321577166,"High vs Low","DKK1",0.0225983258443605
"EBF3",23.9848051237428,0.0183516766701313,0.197509226603594,0.0929155411405848,0.925970659115006,0.977551213292716,0.0127204129424493,"High vs Low","EBF3",0.977551213292716
"GLRX3",3075.97590335409,-0.154204798826905,0.0908626151289936,-1.69712041204171,0.0896738978708598,0.397171058775039,-0.106886621535683,"High vs Low","GLRX3",0.397171058775039
"SORCS1",16.2757747798585,0.657750369189172,0.287382600430794,2.28876197864167,0.0220931857170331,0.220392115206525,0.455917813915737,"High vs Low","SORCS1",0.220392115206525
"FAM208B",3090.26912491405,-0.0597718817434879,0.073789217726297,-0.810035444002091,0.417919805028055,0.745292899987694,-0.0414307113072611,"High vs Low","FAM208B",0.745292899987694
"XPNPEP1",2576.87764016439,-0.0502744857862759,0.0596017547117377,-0.843506806627207,0.398945060601942,0.732490559606469,-0.0348476180768582,"High vs Low","XPNPEP1",0.732490559606469
"SMC3",3003.40860173697,0.0707052199574448,0.0795915806563951,0.888350493536325,0.374352246548098,0.713941995823674,0.0490091238643737,"High vs Low","SMC3",0.713941995823674
"SHOC2",2372.35779036992,-0.0959990231706421,0.057733932581279,-1.66278337328733,0.0963558060126308,0.410043466365811,-0.0665414522472394,"High vs Low","SHOC2",0.410043466365811
"TFAM",2216.19210297985,-0.105500523170929,0.0775955002359661,-1.35962166427312,0.173949678879983,0.529972337619057,-0.0731273901835289,"High vs Low","TFAM",0.529972337619057
"CCDC6",5415.818637468,-0.0846795752196138,0.0805713814444763,-1.0509882504369,0.293263986229683,0.648432082908369,-0.0586954088144891,"High vs Low","CCDC6",0.648432082908369
"CUL2",1963.1270465573,-0.0953495401122832,0.0691468547617958,-1.37894254830177,0.167912468200369,0.521477471875017,-0.0660912648965165,"High vs Low","CUL2",0.521477471875017
